{'Accuracy': 0.3558792924037461, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 125, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.3593479014915019, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 125, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4488380159556018, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46583420048560525, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4779743322927506, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.507457509538675, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5078043704474505, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5185570586194936, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5313909122441901, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5279223031564343, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5338189386056191, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
