{'Accuracy': 0.44597249508840864, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46037982973149966, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46037982973149966, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4610347085789129, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
