
{'Accuracy': 0.41453831041257366, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:45, metric:euclidean, n_feature:2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.41453831041257366, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:manhattan, n_feature:3', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.42960052390307796, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:49, metric:manhattan, n_feature:4', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.43876882776686316, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:manhattan, n_feature:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4361493123772102, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:manhattan, n_feature:6', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4407334643091028, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:manhattan, n_feature:7', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46496398166339226, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:36, metric:cosine, n_feature:8', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.48264571054354943, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:27, metric:cosine, n_feature:9', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4675834970530452, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:46, metric:cosine, n_feature:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.48002619515389655, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:42, metric:cosine, n_feature:11', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46889325474787164, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:38, metric:cosine, n_feature:12', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.48068107400130977, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:39, metric:cosine, n_feature:13', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.48264571054354943, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:33, metric:cosine, n_feature:13', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4865749836280288, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:36, metric:cosine, n_feature:14', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.47413228552717746, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.49246889325474785, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:43, metric:cosine, n_feature:16', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5134250163719711, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:17', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.472822527832351, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:35, metric:cosine, n_feature:18', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5029469548133595, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:43, metric:cosine, n_feature:19', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5428945645055665, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5370006548788474, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:47, metric:cosine, n_feature:21', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5383104125736738, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:47, metric:cosine, n_feature:22', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5304518664047151, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:49, metric:cosine, n_feature:23', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5448592010478062, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:cosine, n_feature:24', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5402750491159135, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:45, metric:cosine, n_feature:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5284872298624754, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:cosine, n_feature:26', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.535690897184021, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:25, metric:cosine, n_feature:27', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5350360183366077, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:35, metric:cosine, n_feature:28', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5481335952848723, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:cosine, n_feature:29', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5631958087753766, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:44, metric:cosine, n_feature:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5435494433529797, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:cosine, n_feature:31', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5396201702685003, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:48, metric:cosine, n_feature:32', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5487884741322855, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:37, metric:cosine, n_feature:33', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5612311722331369, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:45, metric:cosine, n_feature:34', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5612311722331369, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:38, metric:cosine, n_feature:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5586116568434839, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:39, metric:cosine, n_feature:36', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5573018991486575, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:37', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5599214145383105, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:45, metric:cosine, n_feature:38', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5612311722331369, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:39', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5677799607072691, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:40, metric:cosine, n_feature:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5605762933857237, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:44, metric:cosine, n_feature:41', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5599214145383105, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:38, metric:cosine, n_feature:42', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5599214145383105, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:46, metric:cosine, n_feature:43', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5651604453176162, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:39, metric:cosine, n_feature:44', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5631958087753766, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:49, metric:cosine, n_feature:45', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5631958087753766, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:37, metric:cosine, n_feature:46', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5658153241650294, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:41, metric:cosine, n_feature:47', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5638506876227898, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:47, metric:cosine, n_feature:48', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5651604453176162, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:34, metric:cosine, n_feature:49', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
