{'Accuracy': 0.7058619493583074, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:3', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.704474505723205, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:4', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6982310093652445, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6996184530003469, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:6', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7020464793617759, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:7', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6926812348248352, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:8', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6954561220950399, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:9', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.697884148456469, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.700312174817898, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:11', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6944155393687131, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:11', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6899063475546305, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:13', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6933749566423864, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:13', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6933749566423864, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:14', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6923343739160597, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6930280957336108, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:16', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6964967048213666, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:17', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6999653139091224, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:18', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6947624002774887, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:19', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.715227193895248, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7048213666319806, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:21', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.715227193895248, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:22', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
