{'Accuracy': 0.32154551407989523, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.32612966601178783, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.3837590045841519, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.381139489194499, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4034053700065488, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4112639161755075, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4381139489194499, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4702030124426981, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4636542239685658, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.48919449901768175, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.495743287491814, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4977079240340537, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5029469548133595, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5134250163719711, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5212835625409299, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5127701375245579, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5291421087098886, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5343811394891945, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5317616240995415, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5520628683693517, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5703994760969221, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5834970530451866, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5776031434184676, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6044531761624099, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5861165684348395, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6044531761624099, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5979043876882777, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5861165684348395, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6044531761624099, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6044531761624099, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6090373280943026, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.595939751146038, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6182056319580878, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6201702685003274, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6142763588736084, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6083824492468893, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
