{'Accuracy': 0.44597249508840864, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5 fetaure len = 1', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.527177472167649, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5 fetaure len = 2', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5337262606417813, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5 fetaure len = 3', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5690897184020957, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5 fetaure len = 4', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5867714472822528, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5 fetaure len = 5', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5756385068762279, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5 fetaure len = 6', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5782580222658809, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 7', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5789129011132941, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 8', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.601833660772757, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 9', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5985592665356909, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 10', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.601833660772757, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 11', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6031434184675835, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 12', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5952848722986247, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 13', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6070726915520629, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 14', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5985592665356909, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 15', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5979043876882777, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 16', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.595939751146038, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 17', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5946299934512115, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 18', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5972495088408645, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 19', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5972495088408645, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 20', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5965946299934513, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 21', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.595939751146038, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 22', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6005239030779306, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 23', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.5952848722986247, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 24', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6214800261951539, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10 fetaure len = 25', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
{'Accuracy': 0.6234446627373936, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10 fetaure len = 26', 'FeatureEliminationMethod': 'ChiSquareFeatureElimination'}
