{'Accuracy': 0.4380853277835588, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4446756850502948, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5535900104058272, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.584460631286854, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5972944849115505, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.608394033992369, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6007630939993063, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.603537981269511, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.608394033992369, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6257370794311481, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6361429066944155, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.646548733957683, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.653139091224419, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6631980575789108, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6631980575789108, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6690946930280958, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7162677766215747, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7134928893513701, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7030870620881027, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
