{'Accuracy': 0.44662737393582186, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.45841519318926, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46496398166339226, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.47544204322200395, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:5', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.47871643745907005, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.495743287491814, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5055664702030125, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5284872298624754, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5232481990831697, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5245579567779961, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5258677144728225, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5330713817943681, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5363457760314342, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5363457760314342, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5239030779305829, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5317616240995415, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5540275049115914, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5566470203012442, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5566470203012442, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.550098231827112, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5671250818598559, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5743287491814014, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.573018991486575, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5625409299279633, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5834970530451866, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5821872953503602, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5618860510805501, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.587426326129666, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5880812049770793, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5841519318925998, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:40', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5848068107400131, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5789129011132941, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:30', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5808775376555337, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5795677799607073, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:10', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5841519318925998, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5841519318925998, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6123117223313687, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6057629338572365, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.627373935821873, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6096922069417158, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6254092992796333, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:25', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6149312377210217, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6201702685003274, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6240995415848068, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6254092992796333, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:20', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6260641781270465, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: entropy, max_depth:35', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6247544204322201, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:15', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6247544204322201, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_criterion: gini, max_depth:None', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
